date,truth,cnn_lstm_pred
2016-08-07,356181.0,367790.9609375
2016-08-08,390745.0,381081.552734375
2016-08-09,416957.0,395892.53076171875
2016-08-10,431561.0,421510.65771484375
2016-08-11,451348.0,436368.45361328125
2016-08-12,453654.0,445434.9111328125
2016-08-13,415169.0,411382.37890625
2016-08-14,374473.0,386258.01171875
2016-08-15,399877.0,394876.07421875
2016-08-16,409158.0,421590.953125
2016-08-17,399285.0,401813.98583984375
2016-08-18,403068.0,404331.66259765625
2016-08-19,402047.0,406923.1359863281
2016-08-20,368283.0,378841.087890625
2016-08-21,339465.0,352455.0361328125
2016-08-22,357764.0,350731.005859375
2016-08-23,365061.0,371141.28515625
2016-08-24,376490.0,375761.837890625
2016-08-25,429018.0,381080.6328125
2016-08-26,431482.0,422598.88330078125
2016-08-27,397055.0,397999.8046875
2016-08-28,388932.0,388322.62109375
2016-08-29,420985.0,423927.83203125
2016-08-30,413518.0,427286.357421875
2016-08-31,406980.0,413374.96322631836
2016-09-01,370700.0,404846.12158203125
2016-09-02,340165.0,348985.046875
2016-09-03,305640.0,308192.060546875
2016-09-04,306428.0,300608.70556640625
2016-09-05,331832.0,350302.640625
2016-09-06,404384.0,378454.97265625
2016-09-07,431090.0,412625.1181640625
2016-09-08,431329.0,425008.23388671875
2016-09-09,409511.0,391446.82421875
2016-09-10,378551.0,360428.02734375
2016-09-11,322234.0,356407.5625
2016-09-12,351463.0,337448.7109375
2016-09-13,367593.0,355740.6494140625
2016-09-14,364287.0,372969.30615234375
2016-09-15,349713.0,365670.1485595703
2016-09-16,358850.0,345828.45849609375
2016-09-17,344431.0,339848.5703125
2016-09-18,329967.0,326231.55859375
2016-09-19,372759.0,356879.677734375
2016-09-20,375647.0,380414.62890625
2016-09-21,372387.0,369419.7744140625
2016-09-22,378656.0,369165.8186035156
2016-09-23,383382.0,369546.2705078125
2016-09-24,338878.0,346652.3125
2016-09-25,317374.0,322650.630859375
2016-09-26,334557.0,348479.47265625
2016-09-27,324120.0,336885.43701171875
2016-09-28,319659.0,323699.16635131836
2016-09-29,318712.0,321018.6473388672
2016-09-30,313591.0,315058.3151855469
2016-10-01,282452.0,288898.1484375
2016-10-02,270336.0,275917.77392578125
2016-10-03,310866.0,305312.3828125
2016-10-04,321058.0,315872.72607421875
2016-10-05,326218.0,317689.3063964844
2016-10-06,331856.0,321469.6357421875
2016-10-07,325892.0,320902.1767578125
2016-10-08,283893.0,290959.1015625
2016-10-09,271418.0,268976.607421875
2016-10-10,311872.0,316197.63671875
2016-10-11,315566.0,317000.30517578125
2016-10-12,317391.0,318246.845703125
2016-10-13,310616.0,317408.99997520447
2016-10-14,305250.0,308188.8522949219
2016-10-15,281916.0,288721.609375
2016-10-16,278563.0,267307.7998046875
2016-10-17,331368.0,315348.24609375
2016-10-18,336925.0,335413.7409667969
2016-10-19,338136.0,323467.59765625
2016-10-20,326810.0,331888.73974609375
2016-10-21,310779.0,309264.875
2016-10-22,287976.0,285647.939453125
2016-10-23,283301.0,278909.08203125
2016-10-24,307551.0,328263.18359375
2016-10-25,321346.0,313788.1943359375
2016-10-26,324548.0,325416.6833496094
2016-10-27,320289.0,326873.18896484375
2016-10-28,313778.0,317868.07275390625
2016-10-29,291222.0,298592.5625
2016-10-30,277001.0,269932.505859375
2016-10-31,310822.0,321329.64453125
2016-11-01,319728.0,319931.494140625
2016-11-02,319618.0,319664.5380859375
2016-11-03,314754.0,319149.1967163086
2016-11-04,307366.0,310873.28076171875
2016-11-05,294282.0,295366.82421875
2016-11-06,300132.0,284616.8076171875
2016-11-07,322081.0,337432.29296875
2016-11-08,324311.0,324491.6413574219
2016-11-09,326620.0,325012.8280029297
2016-11-10,339826.0,334342.03173828125
2016-11-11,328356.0,339601.6705169678
2016-11-12,317050.0,299718.48828125
2016-11-13,318950.0,335881.4375
2016-11-14,351377.0,354698.83203125
2016-11-15,346245.0,354339.32568359375
2016-11-16,336223.0,347938.69091796875
2016-11-17,334426.0,335907.89361572266
2016-11-18,322851.0,329079.3388671875
2016-11-19,321217.0,287607.91015625
2016-11-20,346068.0,351181.25390625
2016-11-21,377543.0,390893.390625
2016-11-22,381512.0,381393.87890625
2016-11-23,367333.0,382601.3466796875
2016-11-24,291570.0,362187.07421875
2016-11-25,296893.0,282910.2685546875
2016-11-26,314512.0,305053.244140625
2016-11-27,324583.0,320164.99169921875
2016-11-28,356965.0,359759.38671875
2016-11-29,331295.0,358686.6201171875
2016-11-30,329918.0,332585.46337890625
2016-12-01,357346.0,340316.4853515625
2016-12-02,370998.0,370287.2431640625
2016-12-03,346435.0,344556.12890625
2016-12-04,342712.0,330993.3642578125
2016-12-05,362605.0,373415.73828125
2016-12-06,376860.0,369767.35498046875
2016-12-07,374652.0,383684.81884765625
2016-12-08,403611.0,388675.4169921875
2016-12-09,426502.0,403034.60705566406
2016-12-10,404482.0,396023.830078125
2016-12-11,379886.0,373201.548828125
2016-12-12,380072.0,396963.18359375
2016-12-13,395825.0,377717.96240234375
2016-12-14,411744.0,394753.17346191406
2016-12-15,461919.0,431929.150390625
2016-12-16,469464.0,451326.716796875
2016-12-17,378912.0,413881.8203125
2016-12-18,358696.0,346724.04296875
2016-12-19,427475.0,396547.77734375
2016-12-20,433923.0,423248.572265625
2016-12-21,410645.0,415911.05078125
2016-12-22,381689.0,393310.126953125
2016-12-23,372437.0,369591.5224609375
2016-12-24,318380.0,342296.8125
2016-12-25,292305.0,308604.0205078125
2016-12-26,293817.0,320122.181640625
2016-12-27,323425.0,317217.453125
2016-12-28,357566.0,366492.98046875
2016-12-29,356271.0,357966.8432006836
2016-12-30,374018.0,354766.9211425781
2016-12-31,359505.0,360355.974609375
2017-01-01,313746.0,338825.873046875
2017-01-02,323486.0,360264.4296875
2017-01-03,346960.0,342325.119140625
2017-01-04,375407.0,368845.6328125
2017-01-05,434529.0,417983.58984375
2017-01-06,448984.0,425688.802734375
2017-01-07,449971.0,421764.552734375
2017-01-08,454685.0,425851.494140625
2017-01-09,470170.0,439157.2353515625
2017-01-10,418391.0,431415.13671875
2017-01-11,373521.0,399752.904296875
2017-01-12,345408.0,398629.068359375
2017-01-13,362732.0,338214.40087890625
2017-01-14,353356.0,348363.1591796875
2017-01-15,339578.0,336745.59375
2017-01-16,366121.0,364861.92578125
2017-01-17,350650.0,359290.6494140625
2017-01-18,354859.0,346118.36865234375
2017-01-19,365190.0,358815.53662109375
2017-01-20,347073.0,360436.4853515625
2017-01-21,309393.0,326186.818359375
2017-01-22,295093.0,300306.4716796875
2017-01-23,346275.0,343382.484375
2017-01-24,363668.0,375162.0625
2017-01-25,356699.0,364671.6957397461
2017-01-26,371210.0,359680.7897949219
2017-01-27,401521.0,368228.04931640625
2017-01-28,374646.0,375888.408203125
2017-01-29,362073.0,362321.404296875
2017-01-30,412152.0,398050.31640625
2017-01-31,393704.0,432526.947265625
2017-02-01,370693.0,387978.10546875
2017-02-02,386991.0,375880.31591796875
2017-02-03,413014.0,393002.52197265625
2017-02-04,400462.0,387297.84765625
2017-02-05,347857.0,368126.482421875
2017-02-06,363434.0,385243.06640625
2017-02-07,337230.0,365308.95349121094
2017-02-08,343832.0,339839.0712890625
2017-02-09,405701.0,381051.5703125
2017-02-10,419127.0,408726.68994140625
2017-02-11,328529.0,377990.6015625
2017-02-12,297811.0,293856.12890625
2017-02-13,364047.0,354601.390625
2017-02-14,372826.0,384319.642578125
2017-02-15,375118.0,355478.78515625
2017-02-16,392742.0,389750.001953125
2017-02-17,355436.0,389444.7373046875
2017-02-18,307777.0,312971.87890625
2017-02-19,292549.0,302024.69384765625
2017-02-20,335623.0,341999.54296875
2017-02-21,329349.0,365995.166015625
2017-02-22,325986.0,330088.99548339844
2017-02-23,322496.0,328247.16064453125
2017-02-24,314679.0,323656.62170410156
2017-02-25,307855.0,302174.6806640625
2017-02-26,331959.0,332294.50390625
2017-02-27,360988.0,377691.06640625
2017-02-28,351229.0,357658.8962402344
2017-03-01,323502.0,352175.2417602539
2017-03-02,363024.0,343791.90234375
2017-03-03,383378.0,366047.2521972656
2017-03-04,365088.0,349650.2734375
2017-03-05,334128.0,328737.9765625
2017-03-06,347941.0,349885.09375
2017-03-07,336318.0,346692.5535888672
2017-03-08,337121.0,339118.6501464844
2017-03-09,338102.0,340227.77978515625
2017-03-10,356503.0,315672.462890625
2017-03-11,364775.0,344782.2666015625
2017-03-12,338297.0,345135.5625
2017-03-13,390773.0,369650.453125
2017-03-14,411768.0,387958.94140625
2017-03-15,441180.0,413700.37048339844
2017-03-16,410804.0,419470.05859375
2017-03-17,404742.0,373177.01171875
2017-03-18,337890.0,376849.228515625
2017-03-19,326664.0,317416.8046875
2017-03-20,365447.0,348385.3984375
2017-03-21,337603.0,359492.0703125
2017-03-22,352558.0,327966.38671875
2017-03-23,368283.0,361154.3798828125
2017-03-24,327640.0,328176.20703125
2017-03-25,282371.0,284895.91796875
2017-03-26,278566.0,272766.279296875
2017-03-27,315108.0,320124.55078125
2017-03-28,319747.0,312628.1477050781
2017-03-29,321696.0,321190.5439453125
2017-03-30,326227.0,325345.1203613281
2017-03-31,320400.0,318212.58935546875
2017-04-01,301661.0,310293.0419921875
2017-04-02,288970.0,299208.7067871094
2017-04-03,321152.0,322276.375
2017-04-04,318406.0,325778.90771484375
2017-04-05,321238.0,316769.92443847656
2017-04-06,332395.0,322110.0174560547
2017-04-07,353238.0,324920.037109375
2017-04-08,309547.0,320331.2265625
2017-04-09,285841.0,274920.92578125
2017-04-10,315282.0,322248.8671875
2017-04-11,316301.0,319711.26513671875
2017-04-12,311224.0,315248.4147949219
2017-04-13,312043.0,317005.14697265625
2017-04-14,292669.0,302648.88671875
2017-04-15,278843.0,266087.646484375
2017-04-16,273607.0,274521.30126953125
2017-04-17,310937.0,311302.9296875
2017-04-18,314165.0,317723.640625
2017-04-19,318416.0,322941.736328125
2017-04-20,330834.0,318240.1514892578
2017-04-21,313618.0,329556.2619628906
2017-04-22,284761.0,281951.97265625
2017-04-23,279849.0,277042.12939453125
2017-04-24,315361.0,323872.59765625
2017-04-25,317878.0,323082.88232421875
2017-04-26,327966.0,320879.0888671875
2017-04-27,320067.0,335231.6201171875
2017-04-28,312725.0,309618.4873046875
2017-04-29,299276.0,291029.751953125
2017-04-30,301326.0,298390.62713623047
2017-05-01,319152.0,340837.421875
2017-05-02,303699.0,322447.31201171875
2017-05-03,303434.0,307080.3935546875
2017-05-04,310316.0,313432.4833984375
2017-05-05,311426.0,309469.4532470703
2017-05-06,285119.0,289516.615234375
2017-05-07,277479.0,274352.9443359375
2017-05-08,319093.0,322476.0859375
2017-05-09,321703.0,328420.333984375
2017-05-10,321062.0,324512.6726074219
2017-05-11,321147.0,325624.759765625
2017-05-12,307128.0,313703.5302734375
2017-05-13,281278.0,275555.865234375
2017-05-14,275728.0,279789.71423339844
2017-05-15,320359.0,317506.80859375
2017-05-16,343501.0,330263.9208984375
2017-05-17,366210.0,352829.306640625
2017-05-18,373616.0,362554.5634765625
2017-05-19,349806.0,342835.916015625
2017-05-20,310297.0,312467.1875
2017-05-21,290532.0,298276.6708984375
2017-05-22,317686.0,315625.361328125
2017-05-23,318452.0,333480.5048828125
2017-05-24,316618.0,321405.77197265625
2017-05-25,315618.0,319922.7634277344
2017-05-26,313804.0,308302.69482421875
2017-05-27,296762.0,287164.427734375
2017-05-28,289032.0,289757.6953125
2017-05-29,298335.0,314052.953125
2017-05-30,336130.0,337529.0
2017-05-31,332559.0,340611.2978515625
2017-06-01,333187.0,328945.4436035156
2017-06-02,334701.0,325319.3447265625
2017-06-03,316653.0,322306.849609375
2017-06-04,322109.0,315843.5284423828
2017-06-05,350677.0,367331.21875
2017-06-06,329621.0,351915.6563720703
2017-06-07,313472.0,329401.2278289795
2017-06-08,323411.0,315881.62841796875
