date,tavg,tmax,tmin,prcp,wspd,pres,rhum,tsun
2004-01-01,3.0,9.0,-2.7,0.0,15.5,998.0,77,29354.69
2004-01-02,9.7,13.0,6.2,4.0,23.0,989.5,94,0.0
2004-01-03,14.4,15.7,10.1,19.8,26.5,984.8,96,171.09
2004-01-04,3.9,9.4,2.1,50.0,20.5,985.9,92,0.0
2004-01-05,0.9,3.5,-2.5,5.2,18.4,987.5,81,0.0
2004-01-06,-7.4,-2.5,-10.3,0.0,27.0,1000.6,46,32400.0
2004-01-07,-7.4,-3.6,-10.1,0.0,23.2,1002.4,37,32573.7
2004-01-08,-4.2,-1.2,-6.7,0.8,14.3,998.8,50,0.0
2004-01-09,-4.9,-2.9,-9.5,0.0,18.4,998.3,64,32400.0
2004-01-10,-9.4,-6.3,-12.1,0.0,14.8,1003.6,52,32479.6
2004-01-11,-3.8,2.2,-9.5,0.0,24.7,995.5,51,28847.14
2004-01-12,2.3,3.9,0.4,0.3,23.8,990.6,83,0.0
2004-01-13,-0.5,1.4,-3.1,0.0,21.9,994.3,71,12313.88
2004-01-14,-1.1,3.5,-6.1,0.9,27.5,987.2,68,31547.97
2004-01-15,-6.2,-0.1,-10.6,0.0,25.0,991.1,58,32700.72
2004-01-16,-8.2,-4.6,-11.6,0.0,9.3,997.7,34,32965.77
2004-01-17,-3.9,1.3,-7.3,7.8,14.0,990.0,58,0.0
2004-01-18,-2.2,1.8,-8.4,3.9,23.4,980.0,77,6330.45
2004-01-19,-8.1,-5.0,-10.9,0.0,20.4,989.7,61,27138.15
2004-01-20,-9.5,-5.8,-13.8,0.0,14.7,996.8,58,30048.67
2004-01-21,-5.8,-0.4,-10.4,0.0,23.5,993.6,49,33462.89
2004-01-22,-4.7,0.5,-12.1,0.1,24.5,987.7,54,27884.3
2004-01-23,-10.7,-6.7,-14.4,3.5,21.2,991.4,52,21600.0
2004-01-24,-8.6,-4.6,-16.6,0.3,19.2,988.7,74,32145.88
2004-01-25,-13.1,-6.4,-19.7,9.5,24.4,992.2,71,8833.17
2004-01-26,-0.7,3.4,-6.0,10.9,21.0,982.7,92,0.0
2004-01-27,-0.9,3.5,-7.0,6.0,28.4,979.8,83,8313.21
2004-01-28,-8.1,-5.1,-10.8,0.0,26.8,990.5,65,34847.27
2004-01-29,-9.4,-6.1,-13.3,2.3,20.2,990.1,66,20196.48
2004-01-30,-13.1,-10.4,-18.7,0.2,20.0,987.6,71,34998.07
2004-01-31,-14.9,-7.2,-20.9,0.0,15.2,994.0,65,35071.74
2004-02-01,-11.4,-1.7,-19.7,0.0,13.6,999.8,73,33672.27
2004-02-02,-3.0,4.2,-9.5,3.8,19.0,995.2,71,7696.94
2004-02-03,0.9,3.1,-3.9,10.2,25.3,988.3,88,93.24
2004-02-04,-4.5,-0.2,-8.0,0.0,18.7,1002.2,68,35364.54
2004-02-05,-2.4,0.8,-8.4,11.6,20.1,999.8,73,0.0
2004-02-06,3.1,5.6,-1.0,10.2,23.1,984.1,92,18.75
2004-02-07,-2.6,-1.1,-4.6,1.4,22.4,987.8,76,10310.46
2004-02-08,-4.6,-0.3,-7.5,0.0,15.5,1002.4,74,35651.77
2004-02-09,-0.8,3.6,-6.9,0.0,26.0,996.4,71,14313.83
2004-02-10,0.0,3.1,-3.3,0.0,28.7,992.4,78,36033.5
2004-02-11,-2.9,2.5,-7.8,0.0,16.6,994.9,66,36386.12
2004-02-12,-0.5,4.4,-3.9,0.0,17.7,994.5,70,32339.2
2004-02-13,-2.8,1.1,-5.1,0.0,19.2,996.0,67,26098.71
2004-02-14,-1.3,5.1,-5.1,0.0,16.6,990.3,59,36000.0
2004-02-15,-4.2,-1.2,-8.4,0.0,21.1,995.2,52,36042.39
2004-02-16,-5.8,0.8,-10.9,0.0,14.5,1003.9,29,37886.29
2004-02-17,-1.3,3.4,-4.5,0.0,8.4,1001.7,35,31713.74
2004-02-18,-0.7,5.8,-5.9,0.0,15.1,999.3,56,38045.87
2004-02-19,4.9,11.8,0.1,0.0,17.2,988.1,70,31379.68
2004-02-20,6.9,12.3,2.8,4.9,30.1,976.6,80,15745.44
2004-02-21,2.1,4.0,0.1,0.6,29.7,982.4,73,8878.28
2004-02-22,0.3,4.1,-2.8,0.0,13.9,995.9,67,21285.92
2004-02-23,1.8,8.3,-3.1,0.7,9.7,993.9,69,26602.32
2004-02-24,1.6,4.7,-1.5,4.9,20.6,992.1,80,27220.15
2004-02-25,0.1,5.7,-4.0,0.0,18.3,998.1,61,38628.38
2004-02-26,1.3,6.9,-2.2,0.0,18.2,997.9,56,36980.47
2004-02-27,2.7,10.0,-2.7,0.0,11.7,999.5,58,38798.61
2004-02-28,3.5,11.8,-2.8,0.0,9.4,1001.9,61,38885.31
2004-02-29,5.6,14.2,-1.0,0.0,11.6,997.2,67,29730.19
2004-03-01,8.3,12.4,4.7,8.5,25.2,990.6,76,4161.36
2004-03-02,11.1,13.7,7.1,0.4,25.3,991.1,74,39153.49
2004-03-03,7.8,12.3,2.8,1.0,13.9,998.0,83,22931.64
2004-03-04,9.5,13.0,7.0,4.2,12.5,991.7,93,0.0
2004-03-05,17.1,22.3,13.1,2.1,42.1,981.3,74,26451.96
2004-03-06,8.7,13.7,6.0,1.6,23.1,984.4,72,6698.72
2004-03-07,5.3,10.8,1.5,1.7,28.9,986.3,71,32522.48
2004-03-08,2.0,4.7,0.0,0.1,30.2,989.3,61,13875.59
2004-03-09,1.3,5.2,-2.3,0.2,15.7,991.5,64,40251.89
2004-03-10,1.0,7.3,-4.2,0.0,8.3,998.2,57,40820.98
2004-03-11,3.1,8.6,-1.4,0.8,29.6,990.4,62,28747.46
2004-03-12,-3.2,1.3,-7.1,0.0,28.6,994.2,46,40754.3
2004-03-13,-1.7,4.7,-6.8,0.0,15.1,1002.2,51,40420.84
2004-03-14,3.8,8.3,-0.8,1.0,26.0,994.5,67,5219.28
2004-03-15,3.8,9.0,-1.9,0.0,19.5,996.6,57,40055.87
2004-03-16,-0.5,1.5,-3.1,10.8,21.8,986.9,77,8440.18
2004-03-17,-2.6,0.5,-5.1,1.1,12.0,988.4,79,16971.17
2004-03-18,1.3,5.6,-3.7,5.9,7.7,989.6,86,21600.0
2004-03-19,3.3,8.4,-0.4,0.0,12.5,999.5,77,38600.74
2004-03-20,8.7,17.7,2.0,9.2,23.6,990.9,75,23649.07
2004-03-21,1.0,6.5,-2.4,0.0,29.3,995.1,55,14140.49
2004-03-22,-2.2,2.0,-5.2,0.0,18.2,1000.9,48,42123.19
2004-03-23,1.6,9.4,-4.7,0.0,17.8,1000.8,48,42904.94
2004-03-24,8.2,16.7,1.2,2.2,24.5,998.2,65,19879.32
2004-03-25,14.2,20.9,9.5,1.4,20.9,1000.2,65,21246.19
2004-03-26,16.3,21.4,13.1,2.9,20.6,998.5,71,27575.55
2004-03-27,15.6,19.4,12.8,2.9,9.7,997.5,85,28188.83
2004-03-28,15.1,22.3,9.0,0.0,16.1,995.8,78,40432.8
2004-03-29,13.4,17.0,9.3,5.4,19.3,992.7,77,24108.98
2004-03-30,9.6,12.3,7.5,27.7,12.6,988.4,84,29495.14
2004-03-31,6.5,7.6,4.3,1.9,22.3,984.7,89,9638.26
2004-04-01,4.0,6.4,2.1,3.5,27.7,984.0,83,811.94
2004-04-02,4.3,7.3,1.6,4.5,22.1,984.1,88,0.0
2004-04-03,8.2,14.3,3.0,0.0,33.1,981.7,68,44547.31
2004-04-04,3.6,6.9,1.6,0.1,32.6,985.9,57,25623.98
2004-04-05,1.8,7.1,-3.4,0.0,21.9,993.1,52,45784.95
2004-04-06,6.6,14.8,-2.1,0.0,16.1,989.7,59,45937.71
2004-04-07,11.8,17.3,6.1,1.2,16.3,983.1,67,46089.49
2004-04-08,11.2,19.5,5.4,1.7,27.6,977.5,67,46241.32
2004-04-09,8.6,13.1,3.2,0.0,13.2,987.6,68,43007.99
2004-04-10,9.1,14.1,5.1,0.0,15.3,989.9,58,37693.82
2004-04-11,8.5,12.7,4.8,0.3,14.9,990.2,58,17644.61
2004-04-12,5.6,8.3,2.9,19.4,23.2,988.3,79,243.11
2004-04-13,3.2,4.3,1.8,15.5,28.7,981.5,96,0.0
2004-04-14,6.2,12.2,1.7,2.1,23.3,987.8,66,46800.0
2004-04-15,10.3,18.6,1.8,0.0,9.3,994.2,61,46800.0
2004-04-16,14.5,22.6,6.3,0.0,18.3,994.2,64,46800.0
2004-04-17,17.4,24.6,10.5,0.9,24.9,993.8,71,34072.69
2004-04-18,19.6,26.2,12.8,0.0,23.7,995.3,71,46800.0
2004-04-19,19.6,21.6,16.9,1.8,28.1,991.6,62,35371.62
2004-04-20,15.6,21.9,9.7,2.9,16.8,990.2,81,35315.14
2004-04-21,17.0,19.9,15.2,11.3,28.8,982.4,82,26617.68
2004-04-22,14.4,16.8,11.7,19.0,16.8,989.0,89,1792.86
2004-04-23,12.3,16.5,9.3,6.1,15.9,991.9,81,14331.67
2004-04-24,13.6,19.9,6.8,0.0,17.0,995.9,66,45495.54
2004-04-25,16.6,21.4,12.1,12.1,27.9,987.4,76,10364.49
2004-04-26,13.3,16.5,10.5,0.1,20.7,988.2,61,42917.94
2004-04-27,7.1,10.0,3.8,1.3,29.3,987.3,56,46800.0
2004-04-28,9.5,18.8,-0.4,0.0,25.6,992.8,56,46800.0
2004-04-29,17.2,23.2,11.0,0.0,23.3,994.4,58,46800.0
2004-04-30,15.5,16.9,14.0,15.2,18.0,991.7,85,211.4
2004-05-01,18.7,23.8,15.6,6.3,18.1,986.8,85,39600.0
2004-05-02,8.8,15.6,6.2,19.2,24.8,985.4,85,1379.7
2004-05-03,7.1,11.6,1.8,0.0,17.4,992.6,60,42837.26
2004-05-04,9.1,15.4,0.8,0.0,20.1,991.7,59,40245.89
2004-05-05,14.4,19.8,9.8,1.5,18.5,988.4,70,45092.07
2004-05-06,18.0,27.6,7.8,0.0,21.4,989.9,69,47184.55
2004-05-07,17.0,20.0,12.6,1.0,17.7,994.5,71,36914.8
2004-05-08,17.9,26.5,10.9,0.0,18.4,994.7,62,47209.09
2004-05-09,21.8,28.1,15.8,0.0,19.1,991.0,67,47476.82
2004-05-10,22.2,28.4,15.6,0.0,18.4,991.4,66,46833.83
2004-05-11,21.4,27.0,15.4,1.2,12.1,993.3,77,47354.68
2004-05-12,22.1,26.9,16.7,0.3,12.4,993.2,78,47657.19
2004-05-13,22.0,27.0,17.2,2.2,18.8,992.7,80,38228.49
2004-05-14,21.9,25.6,18.7,2.8,26.7,991.7,80,47221.21
2004-05-15,14.3,20.3,12.1,16.7,15.6,995.5,90,0.0
2004-05-16,15.6,18.8,12.7,0.0,9.7,999.0,81,2350.19
2004-05-17,19.4,26.2,11.9,0.8,16.2,996.7,82,48194.97
2004-05-18,21.4,26.7,18.9,8.3,21.1,993.1,86,29071.53
2004-05-19,20.0,23.7,17.8,7.6,10.0,992.9,87,27538.41
2004-05-20,22.3,26.5,17.8,1.1,22.2,992.0,84,43969.49
2004-05-21,23.3,28.3,20.0,23.7,13.9,991.1,84,23957.0
2004-05-22,24.2,28.8,19.6,2.4,24.4,987.0,75,49493.0
2004-05-23,24.2,27.9,20.1,0.1,26.2,984.3,71,49456.84
2004-05-24,22.9,26.3,17.4,0.2,26.8,984.3,65,50367.08
2004-05-25,20.7,27.7,13.5,0.5,26.0,984.2,73,40582.65
2004-05-26,19.9,23.1,17.4,6.5,13.2,982.4,82,34959.17
2004-05-27,19.2,25.3,15.0,8.4,22.7,979.6,86,33339.96
2004-05-28,19.0,21.8,15.2,7.1,19.3,981.8,80,44800.21
2004-05-29,15.8,21.0,10.1,0.0,11.5,990.1,58,48349.52
2004-05-30,18.3,23.0,12.8,5.2,17.5,984.5,75,34148.77
2004-05-31,21.3,25.0,17.9,46.4,28.9,976.4,75,35350.32
2004-06-01,19.0,24.3,14.4,0.7,23.0,980.2,61,51664.75
2004-06-02,18.9,23.4,14.7,1.6,20.9,985.0,68,52008.64
2004-06-03,18.0,23.0,12.4,0.0,15.2,993.2,69,50266.77
2004-06-04,17.6,22.0,13.5,0.0,15.3,994.6,62,29457.5
2004-06-05,17.3,22.0,11.4,0.0,9.4,991.3,70,45178.02
2004-06-06,19.0,23.8,13.1,0.0,10.6,990.4,72,45604.66
2004-06-07,21.0,26.5,14.3,0.0,14.8,992.4,68,53122.68
2004-06-08,23.5,28.8,17.3,0.0,14.8,994.1,75,53166.39
2004-06-09,24.8,30.0,19.1,0.8,15.8,992.8,77,50325.25
2004-06-10,22.4,24.5,20.3,1.6,15.9,989.8,82,7332.53
2004-06-11,21.0,24.8,18.6,23.9,25.3,986.1,89,15326.8
2004-06-12,19.8,24.2,15.6,2.7,19.4,989.7,85,13098.48
2004-06-13,23.7,28.3,20.2,9.8,18.4,988.0,85,38612.86
