date,electricity_total,electricity_mean,electricity_max,electricity_min
2004-10-02,311997.0,12999.875,14082.0,11142.0
2004-10-03,293450.0,12227.083333333334,14237.0,10430.0
2004-10-04,343417.0,14309.041666666666,16133.0,11247.0
2004-10-05,346553.0,14439.708333333334,16007.0,11914.0
2004-10-06,346195.0,14424.791666666666,15706.0,12164.0
2004-10-07,346786.0,14449.416666666666,15893.0,11745.0
2004-10-08,344408.0,14350.333333333334,15703.0,11749.0
2004-10-09,310429.0,12934.541666666666,14122.0,11064.0
2004-10-10,294249.0,12260.375,14162.0,10426.0
2004-10-11,343194.0,14299.75,15995.0,11514.0
2004-10-12,350758.0,14614.916666666666,16068.0,12051.0
2004-10-13,346906.0,14454.416666666666,16136.0,11862.0
2004-10-14,347616.0,14484.0,16129.0,11744.0
2004-10-15,348881.0,14536.708333333334,15848.0,11867.0
2004-10-16,326465.0,13602.708333333334,14793.0,11890.0
2004-10-17,314364.0,13098.5,14688.0,11896.0
2004-10-18,370216.0,15425.666666666666,17003.0,12576.0
2004-10-19,355375.0,14807.291666666666,16161.0,12414.0
2004-10-20,348466.0,14519.416666666666,16076.0,11896.0
2004-10-21,345066.0,14377.75,15921.0,11700.0
2004-10-22,343467.0,14311.125,15655.0,11913.0
2004-10-23,318119.0,13254.958333333334,14369.0,11565.0
2004-10-24,298528.0,12438.666666666666,14244.0,10789.0
2004-10-25,347439.0,14476.625,16187.0,11603.0
2004-10-26,351691.0,14653.791666666666,16222.0,12035.0
2004-10-27,346772.0,14448.833333333334,16008.0,11826.0
2004-10-28,343864.0,14327.666666666666,15637.0,11671.0
2004-10-29,342247.0,14260.291666666666,15571.0,11530.0
2004-10-30,310183.0,12924.291666666666,14066.0,10996.0
2004-10-31,283428.0,12322.95652173913,14067.0,10263.0
2004-11-01,343730.0,14322.083333333334,16072.0,11372.0
2004-11-02,350023.0,14584.291666666666,16627.0,11802.0
2004-11-03,351589.0,14649.541666666666,16574.0,11887.0
2004-11-04,360449.0,15018.708333333334,16796.0,12357.0
2004-11-05,358413.0,14933.875,16274.0,12756.0
2004-11-06,333626.0,13901.083333333334,15098.0,12987.0
