feature,importance,category
dayofweek_cos,0.2163007355800841,周期编码
dayofweek,0.21487587902715588,周期编码
dayofweek_sin,0.125731249930444,周期编码
tmax,0.11740666996309299,气象因素
lag_2,0.08120451982751616,历史用电特征
lag_1,0.039256937890117145,历史用电特征
diff_lag_1,0.019485142696687614,历史用电特征
is_workday,0.01839945127461165,日历特征
tavg,0.016762393374679843,气象因素
HDD,0.014238121516240104,气象因素
wspd,0.011665306980742526,气象因素
is_holiday,0.008564918843117065,日历特征
tavg_sq,0.007118424593309432,气象因素
tmin,0.006637472578916921,气象因素
rhum,0.006477527292869174,气象因素
rolling_std_7,0.006033237547883676,历史用电特征
temp_range,0.00602064917656815,气象因素
tsun,0.005611414527061266,气象因素
lag_3,0.005464948041404183,历史用电特征
diff_lag_7,0.005095897672118713,历史用电特征
dayofyear,0.005019664928809744,周期编码
pres,0.004967056006123361,气象因素
day,0.004854659827390613,时间标识
lag_7,0.004608782934063033,历史用电特征
year,0.00460518802336335,时间标识
rolling_std_30,0.004393916596973252,历史用电特征
rolling_min_7,0.003963475694386233,历史用电特征
lag_14,0.003825072638836369,历史用电特征
rolling_min_30,0.003541588574939234,历史用电特征
rolling_max_7,0.0034191910810871654,历史用电特征
lag_30,0.003182860172832602,历史用电特征
CDD,0.003026781686417349,气象因素
rolling_mean_7,0.0029537746171624584,历史用电特征
rolling_max_30,0.0027813118122707397,历史用电特征
rolling_mean_30,0.002769573335765225,历史用电特征
prcp,0.0026326471272322825,气象因素
weekofyear,0.0020951204832568783,周期编码
month_cos,0.0019121001350403922,周期编码
month_sin,0.0016208940592724822,周期编码
month,0.000534981951816928,周期编码
season_summer,0.00021357642036642333,季节
season_autumn,0.00019705328731125295,季节
quarter,0.00017476944451439008,周期编码
is_weekend,0.0001230004310264917,日历特征
season_winter,0.0001225033712974334,季节
season_spring,0.00010955702382367182,季节
