date,truth,onestep_pred,recursive_pred
2018-07-04,408204.0,423100.89453125,423100.89453125
2018-07-05,422616.0,428062.11328125,442959.0078125
2018-07-06,377830.0,420993.90197753906,437042.8173828125
2018-07-07,326648.0,341667.04296875,395257.8447265625
2018-07-08,330449.0,329981.3054199219,382475.6884765625
2018-07-09,394256.0,382311.33203125,421589.9462890625
2018-07-10,419744.0,414385.595703125,439650.0791015625
2018-07-11,401139.0,420843.7080078125,442024.0979003906
2018-07-12,391940.0,396762.10107421875,436288.7180175781
2018-07-13,405871.0,389692.8203125,424954.7941894531
2018-07-14,395721.0,384775.9921875,399297.1242675781
2018-07-15,391109.0,384905.66796875,395754.11962890625
2018-07-16,417601.0,417193.31640625,433538.88134765625
2018-07-17,415467.0,410907.88427734375,431926.98278808594
2018-07-18,379537.0,404846.0283203125,422033.39099121094
2018-07-19,381358.0,379194.972076416,423381.5391845703
2018-07-20,367980.0,381314.25329589844,417688.18518066406
2018-07-21,331086.0,331220.8671875,374013.77893066406
2018-07-22,323504.0,320812.173828125,354028.99377441406
2018-07-23,369842.0,364407.23828125,394532.94689941406
2018-07-24,381373.0,382988.9287109375,410591.53186035156
2018-07-25,396080.0,386401.05810546875,418877.30334472656
2018-07-26,395382.0,398923.6345214844,422416.2303466797
2018-07-27,379599.0,387948.44873046875,418775.70642089844
2018-07-28,338714.0,343373.66796875,382155.37829589844
2018-07-29,327792.0,332313.14111328125,367866.94665527344
2018-07-30,368834.0,366677.36328125,402899.71618652344
2018-07-31,364327.0,379190.9091796875,411863.82849121094
2018-08-01,363628.0,363813.60107421875,411350.46978759766
2018-08-02,376504.0,369015.2421875,414042.17462158203
